Name,Location,Price after Disc,Original Price,Disc Percentage,Rating,Remarks
OYO 265 Hotel Black Stone,"Bhattedanda Devistan Rd, Kavre Nitya Chandeshwor, Kathmandu",833,NPR 2178,62% OFF,0,0
OYO 287 Hotel Buddha Palace,"Mahadev Marg, Kathmandu",1000,NPR 2000,50% OFF,4.3,Very Good
OYO 237 Hotel S Galaxy,"Kalanki, Kathmandu",667,NPR 1612,59% OFF,4.1,Very Good
OYO 251 Siddhi Binayak Guest House,"Milan Tole, New Buspark, Kathmandu",667,NPR 1334,50% OFF,4.8,Excellent
OYO 202 Hotel Kanchenjunga,"Purano Bagar Marg, Near Napi Karyalaya, Kathmandu",733,NPR 1467,50% OFF,4.5,Excellent
OYO 222 Hotel New Himalayan,"Mitranagar, New Buspark, Kathmandu",800,NPR 2077,61% OFF,3.9,Good
OYO 260 Hotel Cultural Inn,"Sinamangal, Manpowerbazar, Kathmandu",800,NPR 2970,73% OFF,4.6,Excellent
OYO 160 Hotel Shraddha Palace,"Gaushala chwok near by Pashupatinath Temple, Kathmandu",867,NPR 2578,66% OFF,4.5,Excellent
OYO 247 Hotel North Pole Inn,"Araniko Highway, Kathmandu",867,NPR 2701,68% OFF,4.5,Excellent
OYO 210 Andes Hotel Pvt Ltd,"Ward No16, Paknajol Marg, Kathmandu",900,NPR 2604,65% OFF,3.8,Good
OYO 252 Hotel Black Stone,"Birendra Aishwarya Marg, Kathmandu",1000,NPR 3459,71% OFF,4.2,Very Good
OYO 279 City Gaon Resort,"Bachamari, Nankhel-9, Araniko Highway, Kathmandu",1467,NPR 3517,58% OFF,0,0
OYO 243 Saypatri Guest House,"Mitranagar-26 Naya Buspark, Kathmandu",667,NPR 1570,58% OFF,4.5,Excellent
OYO 149 Kalpa Brikshya Hotel,"Pingalasthan, Jamuna Galli, Kathmandu",733,NPR 1760,58% OFF,4.1,Very Good
OYO 161 Ram Janaki Hotel,"Sambhu Marg, Airport-9, Kathmandu",800,NPR 2039,61% OFF,4.7,Excellent
OYO 233 Waling Fulbari Guest House,"Mitranagar-26, Gondhuli Marg, New Buspark, Kathmandu",800,NPR 3169,75% OFF,4.6,Excellent
OYO 148 hotel green orchid,"paknajol road , thamel , Kathmandu",833,NPR 2277,63% OFF,4.1,Very Good
OYO 232 Hotel Titanic Pvt Ltd,"Mhepi Marg-29, Kathmandu",867,NPR 2695,68% OFF,3.9,Good
